# mapping of long names to short names in the 'm2m' xsd namespace
operation		op
triggerReferenceNumber	trn
originator	org
metaInformation	mi
requestStatus	rs
operationResult	ors
requestID	rid
scheduleElement	se
deviceIdentifier	di
ruleLinks	rlk
statsCollectID	sci
collectingEntityID	cei
collectedEntityID	cdi
devStatus	ss
statsRuleStatus	srs
statModel	sm
collectPeriod	cp
eventNotificationCriteria	enc
expirationCounter	exc
notificationURI	nu
groupID	gpi
notificationForwardingURI	nfu
batchNotify	bn
rateLimit	rl
preSubscriptionNotify	psn
pendingNotification	pn
notificationStoragePriority	nsp
latestNotify	ln
notificationContentType	nct
notificationEventCat	nec
subscriberURI	su
version	vr
URL	url
update	ud
updateStatus	uds
install	in
uninstall	un
installStatus	ins
activate	act
deactivate	dea
activeStatus	acts
memAvailable	mma
memTotal	mmt
areaNwkType	ant
listOfDevices	ldv
linkState	lst
devID	dvd
devType	dvt
areaNwkId	awi
sleepInterval	sli
sleepDuration	sld
listOfNeighbors	lnh
batteryLevel	btl
batteryStatus	bts
deviceLabel	dlb
manufacturer	man
model	mod
deviceType	dty
fwVersion	fwv
swVersion	swv
hwVersion	hwv
capabilityName	can
attached	att
capabilityActionStatus	cas
enable	ena
disable	dis
currentState	cus
reboot	rbo
factoryReset	far
logTypeId	lgt
logData	lgd
logStatus	lgst
logStart	lga
logStop	lgo
firmwareName	fwn
softwareName	swn
cmdhPolicyName	cpn
mgmtLink	cmlk
activeCmdhPolicyLink	acmlk
order	od
defEcValue	dev
requestOrigin	ror
requestContext	rct
requestContextNotification	rctn
requestCharacteristics	rch
applicableEventCategories	aecs
applicableEventCategory	aec
defaultRequestExpTime	dqet
defaultResultExpTime	dset
defaultOpExecTime	doet
defaultRespPersistence	drp
defaultDelAggregation	dda
limitsEventCategory	lec
limitsRequestExpTime	lqet
limitsResultExpTime	lset
limitsOpExecTime	loet
limitsRespPersistence	lrp
limitsDelAggregation	lda
targetNetwork	ttn
minReqVolume	mrv
spreadingWaitTime	swt
backOffParameters	bop
otherConditions	ohc
maxBufferSize	mbfs
storagePriority	sgp
applicableCredIDs	apci
allowedApp-IDs	aai
allowedAEs	aae
notificationTargetURI	ntu
notificationlPolicyID	npi
action	ac
policyLabel	plbl
rulesRelationship	rrs
deletionRules	dr
deletionRulesRelation	drr
dynamicAuthorizationConsultationIDs	daci
dynamicAuthorizationEnabled	dae
dynamicAuthorizationPoA	dap
dynamicAuthorizationLifetime	dal
descriptorRepresentation	dcrp
semanticOpExec	soe
descriptor	dsp
relatedSemantics	rels
periodicInterval	pei
missingDataDetect	mdd
missingDataMaxNr	mdn
missingDataCurrentNr	mdc
missingDataDetectTimer	mdt
dataGenerationTime	dgt
sequenceNr	snr
provideToNSE	ptn
periodicIndicator	pri
periodicDurationTime	pdt
periodicIntervalTime	pit
stationaryIndication	sti
dataSizeIndicator	dsi
validityTime	vdt
roleID	rlid
roleName	rlnm
tokenLink	rltl
tokenID	tkid
tokenObject	tkob
issuer	tkis
holder	tkhd
notBefore	tknb
notAfter	tkna
tokenName	tknm
audience	tkau
permissions	tkps
extension	tkex
e2eSecInfo	esi
serviceName	gisn
operationName	gion
inputDataPointLinks	giip
outputDataPointLinks	giop
inputLinks	giil
outputLinks	giol
operationState	gios
direction	dir
objectPath	ajop
interfaceIntrospectXmlRef	ajir
input	inp
callStatus	clst
output	out
currentValue	crv
requestValue	rqv
accessControlPolicy	acp
accessControlPolicyAnnc	acpA
AE	ae
AEAnnc	aeA
container	cnt
containerAnnc	cntA
latest	la
oldest	ol
contentInstance	cin
contentInstanceAnnc	cinA
CSEBase	cb
delivery	dlv
eventConfig	evcg
execInstance	exin
fanOutPoint	fopt
group	grp
groupAnnc	grpA
locationPolicy	lcp
locationPolicyAnnc	lcpA
m2mServiceSubscriptionProfile	mssp
mgmtCmd	mgc
node	nod
nodeAnnc	nodA
pollingChannel	pch
pollingChannelURI	pcu
remoteCSE	csr
remoteCSEAnnc	csrA
request	req
schedule	sch
scheduleAnnc	schA
serviceSubscribedAppRule	asar
serviceSubscribedNode	svsn
statsCollect	stcl
statsConfig	stcg
subscription	sub
firmware	fwr
firmwareAnnc	fwrA
software	swr
softwareAnnc	swrA
memory	mem
memoryAnnc	memA
areaNwkInfo	ani
areaNwkInfoAnnc	aniA
areaNwkDeviceInfo	andi
areaNwkDeviceInfoAnnc	andiA
battery	bat
batteryAnnc	batA
deviceInfo	dvi
deviceInfoAnnc	dviA
deviceCapability	dvc
deviceCapabilityAnnc	dvcA
rebootAnnc	rboA
eventLog	evl
eventLogAnnc	evlA
cmdhPolicy	cmp
activeCmdhPolicy	acmp
cmdhDefaults	cmdf
cmdhDefEcValue	cmdv
cmdhEcDefParamValues	cmpv
cmdhLimits	cml
cmdhNetworkAccessRules	cmnr
cmdhNwAccessRule	cmwr
cmdhBuffer	cmbf
notificationTargetMgmtPolicyRef	ntpr
notificationTargetPolicy	ntp
policyDeletionRules	pdr
notificationTargetSelfReference	ntsr
dynamicAuthorizationConsultation	dac
semanticDescriptor	smd
semanticDescriptorAnnc	smdA
semanticFanOutPoint	sfop
timeSeries	ts
timeSeriesAnnc	tsa
timeSeriesInstance	tsi
timeSeriesInstanceAnnc	tsia
trafficPattern	trpt
trafficPatternAnnc	trptA
role	rol
token	tk
genericInterworkingService	gis
genericInterworkingServiceAnnc	gisa
genericInterworkingOperationInstance	gio
genericInterworkingOperationInstanceAnnc	gioa
svcObjWrapper	ajsw
svcObjWrapperAnnc	ajswa
svcFwWrapper	ajfw
svcFwWrapperAnnc	ajfwa
allJoynApp	ajap
allJoynAppAnnc	ajapa
allJoynSvcObject	ajso
allJoynSvcObjectAnnc	ajsoa
allJoynInterface	ajif
allJoynInterfaceAnnc	ajifa
allJoynMethod	ajmd
allJoynMethodAnnc	ajmda
allJoynMethodCall	ajmc
allJoynMethodCallAnnc	ajmca
allJoynProperty	ajpr
allJoynPropertyAnnc	ajpra
createdBefore	crb
createdAfter	cra
modifiedSince	ms
unmodifiedSince	us
stateTagSmaller	sts
stateTagBigger	stb
expireBefore	exb
expireAfter	exa
sizeAbove	sza
sizeBelow	szb
contentType	cty
limit	lim
attribute	atr
contentFilterSyntax	cfs
contentFilterQuery	cfq
level	lvl
offset	ofst
notificationEventType	net
operationMonitor	om
representation	rep
filterUsage	fu
eventCatType	ect
eventCatNo	ecn
number	num
duration	dur
notification	sgn
notificationEvent	nev
verificationRequest	vrq
subscriptionDeletion	sud
subscriptionReference	sur
IPEDiscoveryRequest	idr
accessId	aci
MSISDN	msd
status	sus
childResource	ch
accessControlRule	acr
accessControlOriginators	acor
accessControlOperations	acop
accessControlContexts	acco
accessControlWindow	actw
accessControlIpAddresses	acip
ipv4Addresses	ipv4
ipv6Addresses	ipv6
accessControlLocationRegion	aclr
countryCode	accc
circRegion	accr
name	nm
specializationID	spid
value	val
type	typ
maxNrOfNotify	mnn
timeWindow	tww
scheduleEntry	sce
aggregatedNotification	agn
attributeList	atrl
securityInfo	seci
aggregatedResponse	agr
resource	rce
URIList	uril
debugInfo	dbg
anyArg	any
fileType	ftyp
URI	uri
username	unm
password	pwd
filesize	fsi
targetFile	tgf
delaySeconds	dss
successURL	surl
startTime	stt
completeTime	cpt
UUID	uuid
executionEnvRef	eer
reset	rst
upload	uld
download	dld
softwareInstall	swin
softwareUpdate	swup
softwareUninstall	swun
tracingOption	tcop
tracingInfo	tcin
responseTypeValue	rtv
timeOfDay	tod
locationRegions	lr
URIReference	urir
semanticsFilter	smf
missingDataList	mdl
missingData	md
permission	pm
resourceIDs	ris
localTokenIdAssignment	ltia
localTokenID	lti
dasInfo	dasi
dasRequest	dreq
securedDasRequest	sdr
filterOperation	fo
targetedResourceType	trt
originatorIP	oip
ipv4Address	ip4
ipv6Address	ip6
originatorLocation	olo
originatorRoleIDs	orid
requestTimestamp	rts
targetedResourceID	trid
proposedPrivilegesLifetime	ppl
roleIDsFromACPs	rfa
dynamicACPInfo	dai
grantedPrivileges	gp
privilegesLifetime	pl
securityInfoType	sit
dasResponse	dres
esprimRandObject	ero
esprimObject	epo
escertkeMessage	eckm
resourceRef	rrf
resourceRefList	rrl
esprimRandID	esri
esprimRandValue	esrv
esprimRandExpiry	esrx
esprimKeyGenAlgID	esk
esprimKeyGenAlgIDs	esks
esprimProtocolAndAlgIDs	espa
supportedE2ESecFeatures	esf
certificates	escert
sharedReceiverESPrimRandObject	esro
networkAction	nwa
initialBackoffTime	ibt
additionalBackoffTime	abt
maximumBackoffTime	mbt
optionalRandomBackoffTime	rbt
backOffParametersSet	bops
dataLink	dali
attributeName	atn
dataContainerID	dcid
accessControlAuthenticationFlag	acaf
dataLinkEntry	dle
